36	955	23875	2023
35	955	22920	401
689	955	23875	5922
38	955	24830	6227
51	955	25785	6638
43	955	26740	6988
33	955	27695	7256
49	955	28650	7654
43	955	29605	8008
31	955	30560	8258
705	955	20055	1820
99	955	21010	2616
98	955	21965	3402
42	955	22920	3731
50	955	23875	4136
21	955	24830	4309
22	955	25785	4488
18	955	26740	4639
641	955	27695	9777
64	955	28650	10000
29	955	29605	10000
20	955	30560	10000
24	955	30560	9165
17	955	30560	8351
27	955	29605	6664
23	955	29605	5901
806	955	23875	5671
69	955	24830	6223
21	955	25785	6394
64	955	26740	6907
36	955	27695	7198
33	955	28650	7469
26	955	29605	7680
16	955	30560	7815
735	955	21010	3200
60	955	21965	3688
50	955	22920	4082
27	955	23875	4304
28	955	24830	4533
28	955	25785	4759
27	955	26740	4982
28	955	27695	5205
852	955	26740	9037
155	955	23875	6470
146	955	20055	2860
58	955	19100	1410
129	955	19100	1489
42	955	20055	1824
50	955	21010	2229
101	955	21965	3047
331	955	22920	5703
58	955	23875	6162
31	955	24830	6411
33	955	25785	6682
51	955	26740	7091
63	955	27695	7595
74	955	28650	8196
34	955	29605	8474
525	955	21010	1886
46	955	20055	340
35	955	21010	619
29	955	21965	858
26	955	22920	1072
37	955	23875	1369
34	955	24830	1649
31	955	25785	1897
758	955	26740	7972
37	955	27695	8267
30	955	28650	8516
53	955	27695	7035
31	955	27695	6333
33	955	26740	4689
31	955	26740	3989
29	955	26740	3270
755	955	24830	6454
41	955	25785	6782
20	955	26740	6948
29	955	27695	7185
25	955	28650	7389
17	955	29605	7528
20	955	30560	7693
23	955	31515	7878
789	955	21965	2524
42	955	22920	2860
21	955	23875	3032
52	955	24830	3454
66	955	25785	3991
66	955	26740	4520
28	955	27695	4748
16	955	28650	4877
745	955	28650	9120
70	955	26740	6814
41	955	26740	6191
37	955	25785	4577
35	955	23875	2073
66	955	22920	615
53	955	23875	1039
70	955	24830	1603
603	955	25785	6434
70	955	26740	6992
54	955	27695	7428
19	955	28650	7582
18	955	29605	7731
16	955	30560	7860
15	955	31515	7982
17	955	32470	8120
839	955	21965	2508
53	955	22920	2925
116	955	23875	3854
57	955	24830	4314
22	955	25785	4489
15	955	26740	4613
16	955	27695	4748
15	955	28650	4871
665	955	29605	10000
48	955	29605	9140
80	955	26740	5965
54	955	22920	1627
30	955	22920	908
17	955	23875	1044
24	955	24830	1238
15	955	25785	1365
727	955	26740	7189
59	955	27695	7663
23	955	28650	7848
15	955	29605	7974
14	955	30560	8086
15	955	31515	8213
14	955	32470	8325
15	955	33425	8452
840	955	23875	4679
67	955	24830	5212
28	955	25785	5434
17	955	26740	5570
17	955	27695	5707
15	955	28650	5832
15	955	29605	5953
47	955	30560	6340
775	955	21010	1122
39	955	21965	1429
20	955	22920	1593
50	955	23875	2001
40	955	24830	2320
16	955	25785	2452
34	955	26740	2728
25	955	27695	2930
785	955	28650	9222
50	955	29605	9623
20	955	30560	9788
17	955	31515	9930
14	955	32470	10000
16	955	33425	10000
14	955	34380	10000
13	955	35335	10000
852	955	24830	4630
34	955	25785	4897
22	955	26740	5074
23	955	27695	5264
20	955	28650	5424
18	955	29605	5574
14	955	30560	5687
16	955	31515	5822
840	955	21965	1555
37	955	22920	1850
78	955	23875	2478
21	955	24830	2650
21	955	25785	2821
15	955	26740	2942
13	955	27695	3053
17	955	28650	3196
809	955	27695	7770
90	955	21010	849
35	955	21965	1130
32	955	22920	1393
29	955	23875	1629
29	955	24830	1866
29	955	25785	2097
32	955	26740	2363
705	955	27695	8006
33	955	28650	8269
18	955	29605	8420
21	955	30560	8594
14	955	31515	8711
16	955	32470	8840
16	955	33425	8971
13	955	34380	9080
875	955	24830	5590
35	955	25785	5869
22	955	26740	6048
15	955	27695	6170
14	955	28650	6283
16	955	29605	6416
13	955	30560	6527
16	955	31515	6657
855	955	21965	2314
33	955	22920	2571
23	955	23875	2756
15	955	24830	2877
21	955	25785	3047
15	955	26740	3172
16	955	27695	3303
14	955	28650	3417
866	955	29605	10000
65	955	25785	5704
71	955	21965	1500
37	955	21965	841
19	955	22920	994
14	955	23875	1113
17	955	24830	1256
15	955	25785	1377
762	955	26740	7484
34	955	27695	7752
18	955	28650	7895
19	955	29605	8051
14	955	30560	8169
16	955	31515	8300
14	955	32470	8415
13	955	33425	8526
857	955	24830	5842
33	955	25785	6105
21	955	26740	6274
15	955	27695	6395
14	955	28650	6507
16	955	29605	6640
13	955	30560	6749
15	955	31515	6877
873	955	21965	2514
49	955	22920	2903
21	955	23875	3078
14	955	24830	3197
16	955	25785	3326
14	955	26740	3440
16	955	27695	3569
14	955	28650	3684
861	955	28650	9136
51	955	25785	5725
37	955	24830	4122
67	955	21965	839
50	955	22920	1233
25	955	23875	1434
26	955	24830	1645
17	955	25785	1781
732	955	26740	7649
40	955	27695	7964
45	955	28650	8331
43	955	29605	8680
20	955	30560	8845
18	955	31515	8993
18	955	32470	9140
14	955	33425	9256
791	955	24830	6044
34	955	25785	6310
22	955	26740	6490
15	955	27695	6612
15	955	28650	6738
16	955	29605	6872
13	955	30560	6983
16	955	31515	7113
844	955	21965	2212
32	955	22920	2468
17	955	23875	2605
14	955	24830	2721
16	955	25785	2855
14	955	26740	2971
16	955	27695	3100
17	955	28650	3242
869	955	29605	10000
33	955	29605	9157
40	955	29605	8532
45	955	27695	6027
57	955	22920	764
32	955	23875	1013
28	955	24830	1245
26	955	25785	1459
770	955	26740	7632
